epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5753,4.22888,5.57929,4.05374,0,0,0,0,3.21848,4.95255,3.48903,6.50849e-05,6.50849e-05,6.50849e-05
2,81.1525,2.8116,5.03532,3.29358,0.34878,0.06611,0.01393,0.00582,2.31134,3.85979,2.64448,0.000127836,0.000127836,0.000127836
3,118.314,1.96401,3.68385,2.4986,0.28194,0.13542,0.06105,0.03843,1.55853,2.92388,1.99916,0.000188,0.000188,0.000188
4,155.462,1.52738,3.14451,2.0201,0.34338,0.23613,0.12665,0.08248,1.39108,2.53774,1.67419,0.000184358,0.000184358,0.000184358
5,192.16,1.35978,2.89166,1.7992,0.41659,0.29954,0.20193,0.14711,1.15075,2.23815,1.5006,0.000180477,0.000180477,0.000180477
6,228.955,1.26051,2.71015,1.67239,0.50837,0.36458,0.28615,0.19828,1.14523,2.01429,1.4111,0.000176596,0.000176596,0.000176596
7,265.39,1.19074,2.55395,1.58729,0.5223,0.43475,0.34652,0.24459,1.12669,1.83606,1.3562,0.000172715,0.000172715,0.000172715
8,301.907,1.14324,2.42178,1.51638,0.57601,0.45144,0.40522,0.3048,1.00188,1.67775,1.30067,0.000168834,0.000168834,0.000168834
9,338.73,1.10985,2.3155,1.48278,0.61407,0.47884,0.45488,0.34498,0.95523,1.55566,1.25611,0.000164954,0.000164954,0.000164954
10,375.453,1.07184,2.22649,1.43858,0.63489,0.50405,0.50193,0.37808,0.95177,1.47827,1.22927,0.000161073,0.000161073,0.000161073
11,412.229,1.04174,2.14169,1.41116,0.68692,0.52007,0.54322,0.39896,1.00974,1.35854,1.23088,0.000157192,0.000157192,0.000157192
12,448.93,1.0296,2.06932,1.38844,0.68565,0.55094,0.56819,0.44864,0.84707,1.28224,1.17532,0.000153311,0.000153311,0.000153311
13,485.578,0.99914,1.99593,1.36282,0.72855,0.56214,0.60464,0.47382,0.83396,1.19493,1.15322,0.00014943,0.00014943,0.00014943
14,522.028,0.98198,1.92459,1.33868,0.77499,0.578,0.63243,0.48977,0.8642,1.14997,1.15505,0.00014555,0.00014555,0.00014555
15,558.649,0.95934,1.86412,1.32021,0.79543,0.59436,0.66357,0.51746,0.85319,1.0958,1.14557,0.000141669,0.000141669,0.000141669
16,595.375,0.94456,1.79917,1.30353,0.8021,0.60538,0.68006,0.54969,0.74372,1.03391,1.10838,0.000137788,0.000137788,0.000137788
17,632.026,0.92167,1.7431,1.28001,0.82604,0.61561,0.69678,0.5586,0.77307,0.98523,1.11295,0.000133907,0.000133907,0.000133907
18,668.766,0.91722,1.69667,1.2717,0.83431,0.6136,0.71763,0.56837,0.79961,0.95044,1.1093,0.000130026,0.000130026,0.000130026
19,705.338,0.90597,1.65912,1.25799,0.8445,0.61739,0.72653,0.58196,0.77165,0.9336,1.08991,0.000126146,0.000126146,0.000126146
20,742.009,0.89182,1.61427,1.24388,0.84952,0.62903,0.74061,0.5983,0.74517,0.89338,1.08661,0.000122265,0.000122265,0.000122265
21,778.666,0.87951,1.57432,1.22872,0.86323,0.63994,0.76421,0.62243,0.72633,0.85738,1.07233,0.000118384,0.000118384,0.000118384
22,815.279,0.86733,1.53771,1.22413,0.86711,0.64685,0.77144,0.61647,0.77525,0.84578,1.08992,0.000114503,0.000114503,0.000114503
23,851.94,0.86595,1.50946,1.21768,0.86204,0.64705,0.77451,0.64152,0.68162,0.83076,1.06146,0.000110622,0.000110622,0.000110622
24,888.565,0.84931,1.46784,1.20465,0.8211,0.69385,0.77529,0.63543,0.70702,0.81113,1.05855,0.000106742,0.000106742,0.000106742
25,925.249,0.84608,1.44884,1.19976,0.82985,0.69995,0.79045,0.64008,0.73878,0.7846,1.0649,0.000102861,0.000102861,0.000102861
26,961.83,0.83489,1.4355,1.19326,0.75298,0.75284,0.80071,0.64988,0.72482,0.78249,1.06258,9.898e-05,9.898e-05,9.898e-05
27,998.475,0.83553,1.40816,1.18773,0.76135,0.75514,0.81027,0.66302,0.71148,0.74705,1.0532,9.50992e-05,9.50992e-05,9.50992e-05
28,1035.21,0.81538,1.36139,1.17282,0.75032,0.74974,0.81998,0.68459,0.66096,0.74001,1.03915,9.12184e-05,9.12184e-05,9.12184e-05
29,1071.98,0.81437,1.35442,1.17111,0.76202,0.75522,0.82507,0.68292,0.68862,0.74808,1.05076,8.73376e-05,8.73376e-05,8.73376e-05
30,1108.88,0.81213,1.34099,1.16858,0.78321,0.777,0.83942,0.68468,0.71555,0.72178,1.05323,8.34568e-05,8.34568e-05,8.34568e-05
31,1146.37,0.81169,1.33061,1.16771,0.74935,0.80031,0.84199,0.70256,0.66262,0.69714,1.03788,7.9576e-05,7.9576e-05,7.9576e-05
32,1182.39,0.79996,1.30224,1.15757,0.7832,0.79035,0.86272,0.71004,0.68863,0.69254,1.03931,7.56952e-05,7.56952e-05,7.56952e-05
33,1219.76,0.79166,1.28688,1.15014,0.7823,0.7973,0.84868,0.69283,0.70342,0.6991,1.04569,7.18144e-05,7.18144e-05,7.18144e-05
