                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8095,                 4.8559,                 3.3702,                0.00395,                 0.1279,                0.00396,                 0.0011,                 2.9607,                  4.639,                 3.0112,             6.4574e-05,             6.4574e-05,             6.4574e-05
                      1,                 2.6708,                 4.6855,                 3.2362,                0.00935,                0.24588,                0.00954,                0.00315,                 2.7404,                 4.4646,                 2.8933,             0.00012562,             0.00012562,             0.00012562
                      2,                 2.3484,                 4.3357,                 2.9851,                0.01234,                0.34567,                0.01721,                0.00654,                 2.5932,                 4.3683,                  2.904,             0.00018235,             0.00018235,             0.00018235
                      3,                 2.1078,                 3.9507,                 2.7557,                 0.1576,                0.31016,                0.03951,                0.02059,                 1.9889,                 3.6848,                 2.4365,              0.0001766,              0.0001766,              0.0001766
                      4,                 1.8107,                 3.4945,                 2.4419,                 0.2558,                0.14347,                0.05716,                0.03451,                 1.6749,                 3.2306,                 2.1567,              0.0001766,              0.0001766,              0.0001766
                      5,                 1.6515,                  3.277,                 2.2607,                0.31439,                0.14953,                0.07638,                0.04552,                 1.5843,                 3.2081,                 2.0179,             0.00017013,             0.00017013,             0.00017013
                      6,                 1.5413,                 3.1058,                 2.1236,                0.34808,                0.21483,                   0.11,                0.06437,                 1.6059,                 2.9048,                 1.9074,             0.00016366,             0.00016366,             0.00016366
                      7,                 1.4457,                  2.986,                 2.0004,                0.35984,                 0.2377,                0.13739,                0.09711,                 1.2925,                 2.8006,                 1.7541,             0.00015719,             0.00015719,             0.00015719
                      8,                 1.3883,                 2.8909,                 1.9392,                0.38038,                0.30283,                0.16467,                0.12004,                 1.2176,                   2.65,                 1.6205,             0.00015072,             0.00015072,             0.00015072
                      9,                 1.3563,                 2.7898,                 1.8745,                0.41119,                0.31508,                 0.2097,                0.14488,                 1.2961,                 2.5811,                  1.663,             0.00014426,             0.00014426,             0.00014426
                     10,                 1.3248,                 2.7128,                 1.8208,                 0.4184,                0.31691,                0.23391,                0.16492,                 1.2828,                 2.4854,                 1.6027,             0.00013779,             0.00013779,             0.00013779
                     11,                  1.264,                 2.6337,                 1.7726,                 0.4886,                0.35997,                0.27698,                0.19184,                 1.2598,                 2.3674,                 1.5716,             0.00013132,             0.00013132,             0.00013132
                     12,                 1.2452,                  2.549,                 1.7325,                0.47711,                0.38829,                0.31472,                0.22881,                 1.1574,                 2.2903,                 1.4943,             0.00012485,             0.00012485,             0.00012485
                     13,                 1.2411,                  2.506,                 1.7085,                0.46986,                0.39477,                0.32529,                 0.2201,                  1.309,                 2.2335,                 1.5392,             0.00011838,             0.00011838,             0.00011838
                     14,                 1.2104,                 2.4383,                 1.6799,                0.49333,                0.38925,                0.33237,                0.23015,                 1.2591,                 2.2518,                 1.5392,             0.00011192,             0.00011192,             0.00011192
                     15,                 1.1931,                 2.3853,                 1.6608,                0.51398,                0.41045,                 0.3646,                0.25822,                 1.2205,                 2.1441,                 1.5056,             0.00010545,             0.00010545,             0.00010545
                     16,                 1.1773,                  2.353,                 1.6477,                0.51591,                0.42854,                0.39565,                0.29711,                 1.0705,                 2.0542,                 1.4421,              9.898e-05,              9.898e-05,              9.898e-05
                     17,                 1.1659,                 2.3124,                 1.6247,                0.51728,                0.43466,                0.39895,                0.29302,                  1.112,                 2.0469,                 1.4354,             9.2512e-05,             9.2512e-05,             9.2512e-05
                     18,                 1.1527,                 2.2622,                 1.6133,                0.51168,                0.45564,                0.43205,                0.31818,                 1.1051,                  1.948,                 1.4338,             8.6044e-05,             8.6044e-05,             8.6044e-05
                     19,                 1.1436,                 2.2392,                 1.5973,                0.54727,                 0.4573,                0.43352,                0.32212,                  1.086,                 1.9305,                 1.4097,             7.9576e-05,             7.9576e-05,             7.9576e-05
                     20,                 1.1148,                 2.1947,                  1.578,                0.56863,                0.45648,                0.45474,                0.34301,                 1.0557,                 1.8999,                 1.4089,             7.3108e-05,             7.3108e-05,             7.3108e-05
                     21,                  1.124,                 2.1814,                 1.5706,                0.53435,                 0.4837,                0.46273,                0.34294,                  1.088,                  1.887,                 1.4159,              6.664e-05,              6.664e-05,              6.664e-05
                     22,                 1.1302,                 2.1834,                 1.5743,                0.57867,                0.46955,                0.47408,                0.35168,                 1.0816,                 1.8647,                 1.3961,             6.0172e-05,             6.0172e-05,             6.0172e-05
                     23,                 1.1125,                 2.1316,                  1.564,                0.56451,                0.48825,                0.48815,                0.36895,                 1.0273,                 1.8221,                 1.3753,             5.3704e-05,             5.3704e-05,             5.3704e-05
                     24,                 1.0979,                 2.1228,                 1.5574,                0.58628,                0.49052,                0.48978,                0.35567,                 1.1124,                 1.7952,                  1.385,             4.7236e-05,             4.7236e-05,             4.7236e-05
                     25,                 1.1048,                  2.095,                 1.5483,                0.60838,                0.46122,                0.49639,                0.36417,                 1.0968,                 1.7788,                 1.3876,             4.0768e-05,             4.0768e-05,             4.0768e-05
                     26,                 1.0719,                 2.0587,                 1.5324,                 0.5831,                0.47842,                0.50182,                 0.3766,                 1.0386,                 1.7619,                 1.3554,               3.43e-05,               3.43e-05,               3.43e-05
                     27,                 1.0816,                 2.0533,                 1.5245,                0.60053,                0.50516,                0.51918,                0.38543,                 1.0656,                 1.7509,                 1.3701,             2.7832e-05,             2.7832e-05,             2.7832e-05
                     28,                 1.0765,                 2.0488,                 1.5244,                0.54163,                0.51522,                0.51001,                0.38982,                0.99813,                 1.7392,                 1.3373,             2.1364e-05,             2.1364e-05,             2.1364e-05
                     29,                 1.0637,                 2.0183,                  1.514,                0.54453,                0.50404,                0.50718,                0.38309,                 1.0218,                 1.7532,                 1.3493,             1.4896e-05,             1.4896e-05,             1.4896e-05
