epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.236,0.9736,1.66454,1.36845,0.71596,0.81455,0.82953,0.63059,0.91295,0.94423,1.19074,6.51423e-05,6.51423e-05,6.51423e-05
2,90.3486,0.98498,1.65458,1.37134,0.78419,0.79366,0.85594,0.68733,0.78136,0.87443,1.13664,0.000129184,0.000129184,0.000129184
3,133.822,0.97411,1.60801,1.36045,0.75537,0.80311,0.85657,0.64491,0.92336,0.89139,1.18569,0.000191932,0.000191932,0.000191932
4,178.221,0.95552,1.54188,1.33697,0.81632,0.84959,0.88705,0.70952,0.7641,0.77226,1.12042,0.000190179,0.000190179,0.000190179
5,223.572,0.93276,1.48596,1.31654,0.85813,0.84725,0.91388,0.73502,0.74176,0.7397,1.10446,0.000188238,0.000188238,0.000188238
6,269.53,0.90998,1.41453,1.29318,0.82803,0.8466,0.90325,0.72538,0.75787,0.74141,1.10941,0.000186298,0.000186298,0.000186298
7,314.918,0.89194,1.3695,1.27567,0.84506,0.8904,0.93195,0.69092,0.93422,0.72905,1.14899,0.000184358,0.000184358,0.000184358
8,359.551,0.87681,1.32285,1.25727,0.83159,0.87667,0.90716,0.73776,0.72565,0.69714,1.0788,0.000182417,0.000182417,0.000182417
9,403.749,0.85528,1.27602,1.23993,0.86254,0.89224,0.93546,0.77361,0.68808,0.62466,1.05752,0.000180477,0.000180477,0.000180477
10,448.19,0.84471,1.24173,1.23232,0.89976,0.89351,0.94695,0.78782,0.6745,0.62184,1.05004,0.000178536,0.000178536,0.000178536
11,492.382,0.83785,1.2105,1.22442,0.8916,0.91247,0.95616,0.77526,0.74074,0.60581,1.0631,0.000176596,0.000176596,0.000176596
12,536.433,0.82347,1.18214,1.21639,0.9153,0.89969,0.95694,0.80238,0.65148,0.58289,1.03976,0.000174656,0.000174656,0.000174656
13,580.293,0.81134,1.14793,1.20416,0.92767,0.91896,0.965,0.79162,0.70552,0.55721,1.05063,0.000172715,0.000172715,0.000172715
14,622.908,0.80144,1.12266,1.19541,0.92741,0.92152,0.9679,0.81703,0.63698,0.54158,1.02967,0.000170775,0.000170775,0.000170775
15,665.327,0.79387,1.10195,1.19001,0.92264,0.93326,0.97062,0.79807,0.70438,0.53668,1.05033,0.000168834,0.000168834,0.000168834
16,710.056,0.7813,1.07809,1.17878,0.9337,0.93932,0.97747,0.81267,0.65069,0.51432,1.02646,0.000166894,0.000166894,0.000166894
17,756.669,0.7756,1.0578,1.17614,0.9418,0.94201,0.97523,0.80453,0.69132,0.51494,1.03718,0.000164954,0.000164954,0.000164954
18,801.389,0.77635,1.0445,1.17544,0.92805,0.94042,0.97341,0.81751,0.64376,0.5071,1.0268,0.000163013,0.000163013,0.000163013
19,845.773,0.76511,1.02314,1.16878,0.96079,0.93521,0.9799,0.81481,0.66584,0.48661,1.02846,0.000161073,0.000161073,0.000161073
20,890.483,0.75677,1.0026,1.15906,0.94796,0.94659,0.97975,0.82337,0.63042,0.47263,1.01113,0.000159132,0.000159132,0.000159132
21,935.142,0.75207,0.98878,1.15253,0.94913,0.95165,0.98032,0.82037,0.64502,0.47112,1.02145,0.000157192,0.000157192,0.000157192
22,981.207,0.7451,0.9726,1.15047,0.94134,0.95274,0.98204,0.82224,0.6426,0.4685,1.01806,0.000155252,0.000155252,0.000155252
23,1026.1,0.73995,0.96372,1.14608,0.95732,0.95732,0.98465,0.8294,0.62979,0.44542,1.01147,0.000153311,0.000153311,0.000153311
24,1070.87,0.73677,0.95394,1.14511,0.96503,0.95408,0.98446,0.838,0.60771,0.44394,1.00495,0.000151371,0.000151371,0.000151371
25,1115.58,0.72669,0.93512,1.13828,0.96386,0.95952,0.98637,0.83428,0.61632,0.43388,1.00467,0.00014943,0.00014943,0.00014943
26,1162.73,0.72339,0.92454,1.13702,0.96693,0.9567,0.98599,0.83497,0.61319,0.43711,1.00336,0.00014749,0.00014749,0.00014749
27,1208.88,0.7226,0.91705,1.1356,0.96565,0.95956,0.98719,0.8304,0.62581,0.43041,1.00552,0.00014555,0.00014555,0.00014555
28,1254.54,0.71829,0.90651,1.13177,0.9712,0.95504,0.98755,0.82693,0.63715,0.42685,1.00987,0.000143609,0.000143609,0.000143609
29,1299.94,0.71496,0.89056,1.12759,0.9708,0.96597,0.98853,0.81696,0.68386,0.42528,1.01973,0.000141669,0.000141669,0.000141669
30,1345.41,0.70464,0.87782,1.12215,0.96789,0.96523,0.98812,0.84242,0.5959,0.41511,0.99365,0.000139728,0.000139728,0.000139728
31,1390.81,0.70508,0.88109,1.1223,0.96836,0.96865,0.98835,0.83883,0.60989,0.40992,0.99667,0.000137788,0.000137788,0.000137788
32,1437.42,0.69934,0.86444,1.11798,0.96693,0.97087,0.98874,0.84226,0.59804,0.40053,0.99623,0.000135848,0.000135848,0.000135848
33,1483.58,0.69441,0.85492,1.11488,0.97326,0.96495,0.98931,0.84247,0.59879,0.39507,0.99314,0.000133907,0.000133907,0.000133907
34,1529.69,0.69907,0.85452,1.11528,0.97455,0.96344,0.98906,0.83404,0.63017,0.40027,0.99991,0.000131967,0.000131967,0.000131967
35,1577.11,0.69097,0.84857,1.11105,0.97171,0.97448,0.98962,0.83676,0.62224,0.39642,0.99798,0.000130026,0.000130026,0.000130026
36,1623.05,0.6931,0.83423,1.11119,0.97585,0.96699,0.98989,0.84748,0.58597,0.38557,0.98837,0.000128086,0.000128086,0.000128086
37,1668.24,0.68529,0.83379,1.10803,0.97643,0.97037,0.99054,0.8564,0.56906,0.38268,0.98331,0.000126146,0.000126146,0.000126146
38,1713.74,0.68178,0.81968,1.10305,0.97898,0.96892,0.99028,0.84999,0.58109,0.37817,0.98478,0.000124205,0.000124205,0.000124205
39,1760.18,0.67414,0.81255,1.09705,0.97068,0.97288,0.98979,0.85198,0.57856,0.37419,0.98423,0.000122265,0.000122265,0.000122265
40,1805.45,0.67432,0.80524,1.09772,0.97657,0.97139,0.99086,0.85312,0.57676,0.37292,0.98183,0.000120324,0.000120324,0.000120324
41,1849.73,0.67124,0.7976,1.09396,0.97357,0.9769,0.99052,0.85152,0.58477,0.3706,0.98478,0.000118384,0.000118384,0.000118384
42,1894.33,0.66938,0.79188,1.09487,0.97141,0.97529,0.9904,0.8498,0.58328,0.37444,0.98336,0.000116444,0.000116444,0.000116444
43,1938.18,0.67091,0.79781,1.09548,0.97494,0.97041,0.99067,0.85429,0.57187,0.3689,0.97981,0.000114503,0.000114503,0.000114503
44,1983.05,0.66302,0.78769,1.09089,0.9743,0.97836,0.99133,0.85438,0.57637,0.36125,0.97884,0.000112563,0.000112563,0.000112563
45,2028.35,0.66432,0.77988,1.08952,0.98131,0.97422,0.99133,0.85078,0.58646,0.36088,0.98232,0.000110622,0.000110622,0.000110622
46,2073.13,0.65896,0.7755,1.08765,0.97961,0.97077,0.99082,0.85377,0.5709,0.35907,0.9803,0.000108682,0.000108682,0.000108682
47,2116.25,0.66168,0.77233,1.08921,0.9738,0.97751,0.99118,0.85534,0.57493,0.36342,0.98175,0.000106742,0.000106742,0.000106742
48,2158.94,0.65837,0.76277,1.0843,0.98081,0.97544,0.9917,0.85664,0.57006,0.35578,0.97603,0.000104801,0.000104801,0.000104801
49,2203.06,0.65878,0.76737,1.08907,0.97931,0.97488,0.99142,0.85674,0.56585,0.35198,0.97651,0.000102861,0.000102861,0.000102861
50,2247.54,0.65523,0.76537,1.0863,0.97996,0.97615,0.99157,0.85546,0.57238,0.35171,0.97861,0.00010092,0.00010092,0.00010092
51,2292.17,0.64657,0.75032,1.07897,0.97918,0.97737,0.99178,0.85849,0.56698,0.34946,0.9775,9.898e-05,9.898e-05,9.898e-05
52,2337.56,0.6485,0.75018,1.08145,0.97973,0.97764,0.99168,0.85698,0.57438,0.34905,0.97729,9.70396e-05,9.70396e-05,9.70396e-05
53,2381.77,0.64917,0.7476,1.08015,0.97813,0.9768,0.99209,0.85867,0.5666,0.34374,0.97384,9.50992e-05,9.50992e-05,9.50992e-05
54,2425.62,0.64254,0.7407,1.0761,0.9811,0.97624,0.99201,0.85867,0.5687,0.34585,0.97522,9.31588e-05,9.31588e-05,9.31588e-05
55,2470.46,0.6426,0.73631,1.07769,0.97752,0.97953,0.99187,0.86167,0.56414,0.34313,0.97416,9.12184e-05,9.12184e-05,9.12184e-05
56,2514.05,0.63889,0.72984,1.07234,0.98122,0.97916,0.99192,0.86102,0.56269,0.34284,0.97275,8.9278e-05,8.9278e-05,8.9278e-05
57,2558.42,0.63899,0.73043,1.07197,0.97663,0.98177,0.99225,0.85909,0.56377,0.3414,0.97345,8.73376e-05,8.73376e-05,8.73376e-05
58,2602.39,0.63489,0.72321,1.06965,0.98255,0.97767,0.99224,0.86329,0.5579,0.3371,0.97144,8.53972e-05,8.53972e-05,8.53972e-05
59,2646.11,0.6359,0.72608,1.07289,0.98328,0.97764,0.99227,0.86127,0.56044,0.3357,0.97257,8.34568e-05,8.34568e-05,8.34568e-05
60,2690.89,0.64003,0.72843,1.07315,0.98112,0.97985,0.99219,0.86233,0.55544,0.33573,0.97042,8.15164e-05,8.15164e-05,8.15164e-05
61,2734.65,0.63253,0.71793,1.07066,0.98204,0.97956,0.99223,0.86095,0.56165,0.33558,0.97261,7.9576e-05,7.9576e-05,7.9576e-05
62,2778.16,0.62951,0.71181,1.06629,0.98463,0.97984,0.99232,0.86276,0.55524,0.33324,0.97016,7.76356e-05,7.76356e-05,7.76356e-05
63,2822.36,0.62591,0.70561,1.06353,0.98322,0.98002,0.99241,0.8628,0.5569,0.33308,0.97142,7.56952e-05,7.56952e-05,7.56952e-05
64,2867.25,0.61987,0.70161,1.06105,0.98028,0.98249,0.99223,0.8623,0.55365,0.33167,0.97002,7.37548e-05,7.37548e-05,7.37548e-05
65,2911.83,0.62733,0.70422,1.06609,0.98279,0.97949,0.99246,0.86323,0.5541,0.33147,0.96938,7.18144e-05,7.18144e-05,7.18144e-05
66,2956.74,0.62391,0.70354,1.06138,0.98319,0.9788,0.99237,0.86284,0.55586,0.33009,0.96876,6.9874e-05,6.9874e-05,6.9874e-05
